word,translations
у,"['(possession)', 'by', 'with', 'from (take, borrow)']"
меня,['I']
семья,['family']
из,"['from (the inside of)', 'out of']"
человек,"['person', 'menial', 'kişi']"
я,['I']
мама,['mom']
папа,"['dad', 'Pope']"
сестра,"['sister', 'nurse']"
бабушка,['grandmother']
и,"['and', 'also']"
дедушка,['grandfather']
мы,['we']
все,"['all', 'the whole (of)', 'Everything']"
вместе,['together']
с,"['with', 'from', 'since', 'off', 'against', 'about (indicating approximate time or number)']"
в,"['in', 'to']"
мой,['my']
раньше,"['before', 'earlier']"
потому,['because']
что,"['what', 'that']"
ему,"['dative of ""he""', 'dative of ""it""']"
рано,['it is early']
на,"['on (place)', 'on (day/week)', 'on (means of transport)', 'to (direction)', 'onto', 'at (location)', 'for']"
он,"['he', 'it (masculine inanimate nouns)']"
обычно,['usually']
нам,"['dative of ""we""']"
завтрак,['breakfast']
а,['and (as contrast)']
после,['after']
во,['in']
учиться,['to study']
играть,['to play']
больше,['more']
всего,['in all']
когда,['when']
домой,['homeward']
телевизор,['television set']
потом,['afterwards']
иногда,['sometimes']
где,['where']
они,['they']
овощи,['vegetables']
привет,['hello (informal)']
зовут,['to be called (= name is)']
мне,"['dative of ""I""']"
много,"['much', 'many', 'a lot of']"
паша,['pasha']
пешком,['on foot']
улыбка,['smile']
очень,['very']
худой,['thin']
высокий,"['tall', 'high (altitude,intensity,pitch etc.)', 'good', 'lofty']"
часто,"['often', 'closely together']"
помочь,['to help']
футбол,['football']
всегда,['always']
спорт,['sport']
стать,"['to become', 'to begin to', 'to become', 'to take to']"
ко,"['to', 'by']"
лучше,['better']
особенно,['particularly']
по,"['along', 'about', 'by the means of (por medio de)', 'hit or punch somewhere', 'after a certain age', 'to (indicating to the end or limit of an object)', 'on the subject of', 'on (weekdays)']"
это,"['this is', 'that is', 'it']"
учительница,['teacher']
есть,['there is']
муж,['husband']
трое,['three of ...']
нет,"['no', 'not', 'not any']"
она,['She']
семь,['seven']
класс,['class']
к,"['towards', 'to', 'by (time)']"
подарок,['present']
внимательно,['attentively']
понятно,['it is clear']
предмет,['the subject matter/object']
ужин,['dinner']
им,"['dative of ""they""']"
ночь,['night']
ей,"['dative of ""she""']"
спать,['to sleep']
проверять,['check']
чем,"['than', 'instead of']"
ты,['you']
время,['time']
смотреть,['to look']
сидеть,['to sit']
каждый,['each']
день,"['day', 'afternoon']"
хорошо,['it is good']
как,"['how', 'what', 'like']"
плавать,['swim']
один,"['one', 'alone']"
или,['or']
два,['two']
тебе,"['dative of ""you"" (informal)']"
делать,['to make']
встречаться,"['meet', 'rendez-vous', 'to date', 'to see', 'to occur']"
куда,"['where (to)', 'wherever']"
вы,"['you (plural)', 'you (formal)']"
кафе,['café']
но,['but']
клуб,['club']
их,"['genitive and accusative of ""they""']"
себе,['Self']
готовить,"['to cook', 'to train', 'to prepare']"
да,"['yes', 'but', 'and']"
неплохо,['not bad']
следующий,"['following', 'next']"
раз,"['time', 'one', 'once', 'if']"
посмотреть,['look']
твой,['your']
любимый,['favorite']
сериал,"['series', 'TV series']"
спасибо,['thanks']
за,"['behind', 'at (location)', 'at (direction)', 'for (in support of)', 'for (mistake for)', 'for (reason)', 'for (duration)', 'following after', 'over (a certain age)', 'beyond', 'out of (location)']"
приглашение,['invitation']
завести,"['to get', 'start', 'establish']"
не,['not']
пока,"['bye (informal)', 'while', 'so far', 'until']"
хомяк,['hamster']
маленький,"['little', 'short', 'trifling']"
пушистый,['fluffy']
его,"['genitive of ""he""', 'genitive of ""it""']"
шерсть,"['wool', 'fur']"
для,"['for (the benefit of)', 'to']"
рад,['glad']
друг,['friend']
весело,"['fun', 'happily']"
